,business_name,location,inspection_score,foursquare_id,foursquare_name
218,Happy Donuts,"(37.791348, -122.399834)",82.9090909091,4a9308dff964a520941e20e3,Happy Donuts
219,MARCELLO'S PIZZA,"(37.762057, -122.435145)",96.0,432a0b00f964a520d7271fe3,Marcello's Pizza
220,Sabra Restaurant,"(37.790874, -122.405634)",87.7777777778,4b3e6d85f964a520ff9c25e3,Sabra Grill
221,Working Girls' Cafe',"(37.790477, -122.404033)",95.25,49d1641af964a5207a5b1fe3,Working Girls' Cafe
222,Cafe Dolci,"(37.787153, -122.404148)",91.0,49e61b0bf964a52006641fe3,Cafe Dolci
223,Town & Country Club,"(37.787927, -122.406607)",88.8571428571,4a4d0faaf964a52080ad1fe3,Town Hall
224,"Ritz-Carlton, SF -  P-37 Restaurant and Bar","(37.791757, -122.407377)",92.5714285714,,
225,Ritz-Carlton SF - Club Lounge,"(37.791757, -122.407377)",94.0,4857c24bf964a520bd501fe3,"The Ritz-Carlton, San Francisco"
226,Cafe Ethiopia,"(37.758832, -122.421359)",93.5,43f0db4ff964a5207e2f1fe3,Cafe Ethiopia
227,PEKING WOK RESTAURANT,"(37.733891, -122.391183)",92.2727272727,4bf1ef82a09076b021f429d4,Peking Wok Restaurant
228,TWO JACKS SEAFOOD #2,"(37.718016, -122.387696)",93.2,4f45024119836ed0019817f6,Two Jacks Seafood
229,EL CASTILLITO TAQUERIA INC.,"(37.768776, -122.429095)",85.8333333333,49c6c22bf964a5207a571fe3,El Castillito
